id,nome,zona
agua-rasa,Água Rasa,leste
alto-de-pinheiros,Alto de Pinheiros,oeste
anhanguera,Anhanguera,norte
aricanduva,Aricanduva,leste
artur-alvim,Artur Alvim,leste
barra-funda,Barra Funda,oeste
bela-vista,Bela Vista,centro
belem,Belém,centro
bom-retiro,Bom Retiro,centro
bras,Brás,centro
brasilandia,Brasilândia,norte
butanta,Butantã,oeste
cachoeirinha,Cachoeirinha,norte
cambuci,Cambuci,centro
campo-belo,Campo Belo,sul
campo-grande,Campo Grande,sul
campo-limpo,Campo Limpo,sul
cangaiba,Cangaíba,leste
capao-redondo,Capão Redondo,sul
carrao,Carrão,leste
casa-verde,Casa Verde,norte
cidade-ademar,Cidade Ademar,sul
cidade-dutra,Cidade Dutra,sul
cidade-lider,Cidade Líder,leste
cidade-tiradentes,Cidade Tiradentes,leste
consolacao,Consolação,centro
cursino,Cursino,sul
ermelino-matarazzo,Ermelino Matarazzo,leste
freguesia-do-o,Freguesia do Ó,norte
grajau,Grajaú,sul
guaianases,Guaianases,leste
iguatemi,Iguatemi,leste
ipiranga,Ipiranga,sul
itaim-bibi,Itaim Bibi,oeste
itaim-paulista,Itaim Paulista,leste
itaquera,Itaquera,leste
jabaquara,Jabaquara,sul
jacana,Jaçanã,norte
jaguara,Jaguara,oeste
jaguare,Jaguaré,oeste
jaragua,Jaraguá,norte
jardim-angela,Jardim Ângela,sul
jardim-helena,Jardim Helena,leste
jardim-paulista,Jardim Paulista,oeste
jardim-sao-luis,Jardim São Luís,sul
jose-bonifacio,José Bonifácio,leste
lajeado,Lajeado,leste
lapa,Lapa,oeste
liberdade,Liberdade,centro
limao,Limão,norte
mandaqui,Mandaqui,norte
marsilac,Marsilac,sul
moema,Moema,sul
mooca,Mooca,centro
morumbi,Morumbi,oeste
parelheiros,Parelheiros,sul
pari,Pari,centro
parque-do-carmo,Parque do Carmo,leste
pedreira,Pedreira,sul
penha,Penha,leste
perdizes,Perdizes,oeste
perus,Perus,norte
pinheiros,Pinheiros,oeste
pirituba,Pirituba,norte
ponte-rasa,Ponte Rasa,leste
raposo-tavares,Raposo Tavares,oeste
republica,República,centro
rio-pequeno,Rio Pequeno,oeste
sacoma,Sacomã,sul
santa-cecilia,Santa Cecília,centro
santana,Santana,norte
santo-amaro,Santo Amaro,sul
sao-domingos,São Domingos,norte
sao-lucas,São Lucas,leste
sao-mateus,São Mateus,leste
sao-miguel,São Miguel,leste
sao-rafael,São Rafael,leste
sapopemba,Sapopemba,leste
saude,Saúde,sul
se,Sé,centro
socorro,Socorro,sul
tatuape,Tatuapé,leste
tremembe,Tremembé,norte
tucuruvi,Tucuruvi,norte
vila-andrade,Vila Andrade,sul
vila-curuca,Vila Curuçá,leste
vila-formosa,Vila Formosa,leste
vila-guilherme,Vila Guilherme,norte
vila-jacui,Vila Jacuí,leste
vila-leopoldina,Vila Leopoldina,oeste
vila-maria,Vila Maria,norte
vila-mariana,Vila Mariana,sul
vila-matilde,Vila Matilde,leste
vila-medeiros,Vila Medeiros,norte
vila-prudente,Vila Prudente,leste
vila-sonia,Vila Sônia,oeste
